Installed packages
audit-rules.x86_64                                   4.1.4-1.fc43                        
augeas-libs.x86_64                                   1.14.2-0.6.20250415gitaf2aa88.fc43  
authselect.x86_64                                    1.6.2-1.fc43                        
authselect-libs.x86_64                               1.6.2-1.fc43                        
autoconf.noarch                                      2.72-7.fc43                         
autocorr-en.noarch                                   1:25.8.6.2-1.fc43                   
automake.noarch                                      1.18.1-2.fc43                       
avahi.x86_64                                         0.9~rc2-6.fc43                      
avahi-glib.x86_64                                    0.9~rc2-6.fc43                      
avahi-gobject.x86_64                                 0.9~rc2-6.fc43                      
avahi-libs.x86_64                                    0.9~rc2-6.fc43                      
avahi-tools.x86_64                                   0.9~rc2-6.fc43                      
b43-fwcutter.x86_64                                  019-39.fc43                         
b43-openfwwf.noarch                                  5.2-46.fc43                         
bash.x86_64                                          5.3.0-2.fc43                        
bash-color-prompt.noarch                             0.7.1-2.fc43                        
bash-completion.noarch                               1:2.16-2.fc43                       
bc.x86_64                                            1.08.2-2.fc43                       
biber.noarch                                         2.21-2.fc43                         
bind-libs.x86_64                                     32:9.18.47-1.fc43                   
bind-utils.x86_64                                    32:9.18.47-1.fc43                   
binutils.x86_64                                      2.45.1-4.fc43                       
bison.x86_64                                         3.8.2-11.fc43                       
blivet-data.noarch                                   1:3.12.1-9.fc43                     
blivet-gui-runtime.noarch                            2.6.0-10.fc43                       
blueman.x86_64                                       1:2.4.6-4.fc43                      
bluez.x86_64                                         5.86-4.fc43                         
bluez-cups.x86_64                                    5.86-4.fc43                         
bluez-libs.x86_64                                    5.86-4.fc43                         
bluez-obexd.x86_64                                   5.86-4.fc43                         
boost.x86_64                                         1.83.0-17.fc43                      
boost-atomic.x86_64                                  1.83.0-17.fc43                      
boost-chrono.x86_64                                  1.83.0-17.fc43                      
boost-container.x86_64                               1.83.0-17.fc43                      
boost-context.x86_64                                 1.83.0-17.fc43                      
boost-contract.x86_64                                1.83.0-17.fc43                      
boost-coroutine.x86_64                               1.83.0-17.fc43                      
boost-date-time.x86_64                               1.83.0-17.fc43                      
boost-devel.x86_64                                   1.83.0-17.fc43                      
boost-fiber.x86_64                                   1.83.0-17.fc43                      
boost-filesystem.x86_64                              1.83.0-17.fc43                      
boost-graph.x86_64                                   1.83.0-17.fc43                      
boost-iostreams.x86_64                               1.83.0-17.fc43                      
boost-json.x86_64                                    1.83.0-17.fc43                      
boost-locale.x86_64                                  1.83.0-17.fc43                      
boost-log.x86_64                                     1.83.0-17.fc43                      
boost-math.x86_64                                    1.83.0-17.fc43                      
boost-nowide.x86_64                                  1.83.0-17.fc43                      
boost-numpy3.x86_64                                  1.83.0-17.fc43                      
boost-program-options.x86_64                         1.83.0-17.fc43                      
boost-python3.x86_64                                 1.83.0-17.fc43                      
boost-random.x86_64                                  1.83.0-17.fc43                      
boost-regex.x86_64                                   1.83.0-17.fc43                      
boost-serialization.x86_64                           1.83.0-17.fc43                      
boost-stacktrace.x86_64                              1.83.0-17.fc43                      
boost-system.x86_64                                  1.83.0-17.fc43                      
boost-test.x86_64                                    1.83.0-17.fc43                      
boost-thread.x86_64                                  1.83.0-17.fc43                      
boost-timer.x86_64                                   1.83.0-17.fc43                      
boost-type_erasure.x86_64                            1.83.0-17.fc43                      
boost-wave.x86_64                                    1.83.0-17.fc43                      
braille-printer-app.x86_64                           1:2.0~b0^386eea385f-9.fc43          
brcmfmac-firmware.noarch                             20260309-1.fc43                     
brlapi.x86_64                                        0.8.7-4.fc43                        
brltty.x86_64                                        6.8-4.fc43                          
brotli.x86_64                                        1.2.0-1.fc43                        
brotli-devel.x86_64                                  1.2.0-1.fc43                        
btrfs-progs.x86_64                                   6.19.1-1.fc43                       
bubblewrap.x86_64                                    0.11.0-2.fc43                       
bzip2.x86_64                                         1.0.8-21.fc43                       
bzip2-devel.x86_64                                   1.0.8-21.fc43                       
bzip2-libs.x86_64                                    1.0.8-21.fc43                       
c-ares.x86_64                                        1.34.5-2.fc43                       
ca-certificates.noarch                               2025.2.80_v9.0.304-1.2.fc43         
cairo.x86_64                                         1.18.4-2.fc43                       
cairo-devel.x86_64                                   1.18.4-2.fc43                       
cairo-gobject.x86_64                                 1.18.4-2.fc43                       
cairo-gobject-devel.x86_64                           1.18.4-2.fc43                       
cairomm.x86_64                                       1.14.5-12.fc43                      
cairomm1.16.x86_64                                   1.18.0-12.fc43                      
catfish.noarch                                       4.20.1-5.fc43                       
cdparanoia.x86_64                                    10.2-48.fc43                        
cdparanoia-libs.x86_64                               10.2-48.fc43                        
checkpolicy.x86_64                                   3.9-2.fc43                          
chrony.x86_64                                        4.8-3.fc43                          
cifs-utils.x86_64                                    7.5-1.fc43                          
cifs-utils-info.x86_64                               7.5-1.fc43                          
cirrus-audio-firmware.noarch                         20260309-1.fc43                     
cjson.x86_64                                         1.7.18-3.fc43                       
clang-libs.x86_64                                    21.1.8-4.fc43                       
clang-resource-filesystem.x86_64                     21.1.8-4.fc43                       
claws-mail.x86_64                                    4.3.1-5.fc43                        
claws-mail-plugins-archive.x86_64                    4.3.1-5.fc43                        
claws-mail-plugins-att-remover.x86_64                4.3.1-5.fc43                        
claws-mail-plugins-attachwarner.x86_64               4.3.1-5.fc43                        
claws-mail-plugins-fetchinfo.x86_64                  4.3.1-5.fc43                        
claws-mail-plugins-mailmbox.x86_64                   4.3.1-5.fc43                        
claws-mail-plugins-newmail.x86_64                    4.3.1-5.fc43                        
claws-mail-plugins-notification.x86_64               4.3.1-5.fc43                        
claws-mail-plugins-pgp.x86_64                        4.3.1-5.fc43                        
claws-mail-plugins-rssyl.x86_64                      4.3.1-5.fc43                        
claws-mail-plugins-smime.x86_64                      4.3.1-5.fc43                        
claws-mail-plugins-spam-report.x86_64                4.3.1-5.fc43                        
claws-mail-plugins-tnef.x86_64                       4.3.1-5.fc43                        
claws-mail-plugins-vcalendar.x86_64                  4.3.1-5.fc43                        
cldr-emoji-annotation.noarch                         1:48-1.fc43                         
cldr-emoji-annotation-dtd.noarch                     1:48-1.fc43                         
clevis.x86_64                                        21-12.fc43                          
clevis-luks.x86_64                                   21-12.fc43                          
clevis-pin-tpm2.x86_64                               0.5.3-10.fc43                       
clucene-contribs-lib.x86_64                          2.3.3.4-52.20130812.e8e3d20git.fc43 
clucene-core.x86_64                                  2.3.3.4-52.20130812.e8e3d20git.fc43 
clutter.x86_64                                       1.26.4-17.fc43                      
cmake.x86_64                                         3.31.11-1.fc43                      
cmake-data.noarch                                    3.31.11-1.fc43                      
cmake-filesystem.x86_64                              3.31.11-1.fc43                      
cockpit-bridge.noarch                                360-1.fc43                          
cockpit-storaged.noarch                              360-1.fc43                          
cockpit-system.noarch                                360-1.fc43                          
cockpit-ws.x86_64                                    360-1.fc43                          
cockpit-ws-selinux.x86_64                            360-1.fc43                          
codec2.x86_64                                        1.2.0-7.fc43                        
cogl.x86_64                                          1.22.8-15.fc43                      
color-filesystem.noarch                              1-36.fc43                           
colord.x86_64                                        1.4.8-2.fc43                        
colord-libs.x86_64                                   1.4.8-2.fc43                        
compface.x86_64                                      1.5.2-43.fc43                       
compiler-rt.x86_64                                   21.1.8-4.fc43                       
composefs-libs.x86_64                                1.0.8-3.fc43                        
comps-extras.noarch                                  24-20.fc43                          
compsize.x86_64                                      1.5^git20250123.d79eacf-13.fc43     
coreutils.x86_64                                     9.7-8.fc43                          
coreutils-common.x86_64                              9.7-8.fc43                          
cpio.x86_64                                          2.15-6.fc43                         
cpp.x86_64                                           15.2.1-7.fc43                       
cracklib.x86_64                                      2.9.11-8.fc43                       
cracklib-dicts.x86_64                                2.9.11-8.fc43                       
cronie.x86_64                                        1.7.2-12.fc43                       
cronie-anacron.x86_64                                1.7.2-12.fc43                       
crontabs.noarch                                      1.11^20190603git9e74f2d-8.fc43      
crypto-policies.noarch                               20251125-1.git63291f8.fc43          
crypto-policies-scripts.noarch                       20251125-1.git63291f8.fc43          
cryptsetup.x86_64                                    2.8.4-1.fc43                        
cryptsetup-libs.x86_64                               2.8.4-1.fc43                        
ctags.x86_64                                         6.2.1-1.fc43                        
cups.x86_64                                          1:2.4.16-7.fc43                     
cups-browsed.x86_64                                  1:2.1.1-5.fc43                      
cups-client.x86_64                                   1:2.4.16-7.fc43                     
cups-filesystem.noarch                               1:2.4.16-7.fc43                     
cups-filters.x86_64                                  1:2.0.1-12.fc43                     
cups-filters-driverless.x86_64                       1:2.0.1-12.fc43                     
cups-ipptool.x86_64                                  1:2.4.16-7.fc43                     
cups-libs.x86_64                                     1:2.4.16-7.fc43                     
cups-pk-helper.x86_64                                0.2.7-10.fc43                       
curl.x86_64                                          8.15.0-5.fc43                       
cxl-libs.x86_64                                      84-1.fc43                           
cyrus-sasl-gssapi.x86_64                             2.1.28-33.fc43                      
cyrus-sasl-lib.x86_64                                2.1.28-33.fc43                      
cyrus-sasl-md5.x86_64                                2.1.28-33.fc43                      
cyrus-sasl-plain.x86_64                              2.1.28-33.fc43                      
cyrus-sasl-scram.x86_64                              2.1.28-33.fc43                      
daxctl-libs.x86_64                                   84-1.fc43                           
dbus.x86_64                                          1:1.16.0-4.fc43                     
dbus-broker.x86_64                                   37-2.fc43                           
