adobe-source-code-pro-fonts.noarch                   2.042.1.062.1.026-9.fc44            
texlive-cancel.noarch                                12:svn77682-4.fc44                  
texlive-cantarell.noarch                             12:svn77677-4.fc44                  
texlive-caption.noarch                               12:svn68425-2.fc44                  
texlive-carlisle.noarch                              12:svn59577-3.fc44                  
texlive-carlito.noarch                               12:svn77677-4.fc44                  
texlive-carolmin-ps.noarch                           12:svn15878-4.fc44                  
texlive-cascadia-code.noarch                         12:svn77677-4.fc44                  
texlive-cascadiamono-otf.noarch                      12:svn77677-4.fc44                  
texlive-catchfile.noarch                             12:svn77682-4.fc44                  
texlive-ccicons.noarch                               12:svn77677-4.fc44                  
texlive-cfr-initials.noarch                          12:svn75712-4.fc44                  
texlive-cfr-lm.noarch                                12:svn77677-4.fc44                  
texlive-changepage.noarch                            12:svn77682-4.fc44                  
texlive-charissil.noarch                             12:svn64998-4.fc44                  
texlive-charter.noarch                               12:svn15878-6.fc44                  
texlive-cherokee.noarch                              12:svn21046-4.fc44                  
texlive-chicago.noarch                               12:svn77677-6.fc44                  
texlive-chivo.noarch                                 12:svn65029-4.fc44                  
texlive-chngcntr.noarch                              12:svn77682-4.fc44                  
texlive-cinzel.noarch                                12:svn77677-4.fc44                  
texlive-cite.noarch                                  12:svn36428-2.fc44                  
texlive-citeref.noarch                               12:svn47407-6.fc44                  
texlive-clara.noarch                                 12:svn77677-4.fc44                  
texlive-clearsans.noarch                             12:svn74767-4.fc44                  
texlive-cmap.noarch                                  12:svn57640-2.fc44                  
texlive-cmathbb.noarch                               12:svn56414-4.fc44                  
texlive-cmbright.noarch                              12:svn77677-4.fc44                  
texlive-cmexb.noarch                                 12:svn54074-4.fc44                  
texlive-cmextra.noarch                               12:svn57866-6.fc44                  
texlive-cm-lgc.noarch                                12:svn28250-4.fc44                  
texlive-cmll.noarch                                  12:svn77677-4.fc44                  
texlive-cm-mf-extra-bold.noarch                      12:svn54512-4.fc44                  
texlive-cm.noarch                                    12:svn57963-9.fc44                  
texlive-cmpica.noarch                                12:svn15878-4.fc44                  
texlive-cmsrb.noarch                                 12:svn76790-4.fc44                  
texlive-cm-super.noarch                              12:svn15878-6.fc44                  
texlive-cmtiup.noarch                                12:svn77050-4.fc44                  
texlive-cm-unicode.noarch                            12:svn58661-4.fc44                  
texlive-cmupint.noarch                               12:svn54735-4.fc44                  
texlive-cochineal.noarch                             12:svn77677-4.fc44                  
texlive-coelacanth.noarch                            12:svn77677-4.fc44                  
texlive-collectbox.noarch                            12:svn77682-4.fc44                  
texlive-collection-basic.noarch                      12:svn72890-9.fc44                  
texlive-collection-fontsextra.noarch                 12:svn77044-4.fc44                  
texlive-collection-fontsrecommended.noarch           12:svn54074-6.fc44                  
texlive-collection-latex.noarch                      12:svn77034-3.fc44                  
texlive-collection-latexrecommended.noarch           12:svn77082-2.fc44                  
texlive-colorprofiles.noarch                         12:svn49086-9.fc44                  
texlive-colortbl.noarch                              12:svn77677-3.fc44                  
texlive-comfortaa.noarch                             12:svn77677-4.fc44                  
texlive-comicneue.noarch                             12:svn77677-4.fc44                  
texlive-concmath-fonts.noarch                        12:svn17218-4.fc44                  
texlive-concmath-otf.noarch                          12:svn77677-4.fc44                  
texlive-cookingsymbols.noarch                        12:svn74247-4.fc44                  
texlive-cooperhewitt.noarch                          12:svn64967-4.fc44                  
texlive-cormorantgaramond.noarch                     12:svn71057-4.fc44                  
texlive-countriesofeurope.noarch                     12:svn77677-4.fc44                  
texlive-courier.noarch                               12:svn77161-6.fc44                  
texlive-courier-scaled.noarch                        12:svn77677-4.fc44                  
texlive-courierten.noarch                            12:svn77677-4.fc44                  
texlive-crimson.noarch                               12:svn75712-4.fc44                  
texlive-crimsonpro.noarch                            12:svn64565-4.fc44                  
texlive-crop.noarch                                  12:svn55424-2.fc44                  
texlive-cryst.noarch                                 12:svn15878-4.fc44                  
texlive-ctable.noarch                                12:svn76639-2.fc44                  
texlive-ctablestack.noarch                           12:svn38514-2.fc44                  
texlive-cuprum.noarch                                12:svn77677-4.fc44                  
texlive-currfile.noarch                              12:svn77682-4.fc44                  
texlive-cyklop.noarch                                12:svn77677-4.fc44                  
texlive-cyrillic-modern.noarch                       12:svn71183-4.fc44                  
texlive-dancers.noarch                               12:svn13293-4.fc44                  
texlive-dantelogo.noarch                             12:svn38599-4.fc44                  
texlive-dehyph.noarch                                12:svn48599-5.fc44                  
texlive-dejavu.noarch                                12:svn77677-4.fc44                  
texlive-dejavu-otf.noarch                            12:svn77677-4.fc44                  
texlive-dice.noarch                                  12:svn28501-4.fc44                  
texlive-dictsym.noarch                               12:svn77677-4.fc44                  
texlive-dingbat.noarch                               12:svn77677-4.fc44                  
texlive-domitian.noarch                              12:svn77677-4.fc44                  
texlive-doublestroke.noarch                          12:svn77677-4.fc44                  
texlive-doulossil.noarch                             12:svn63255-4.fc44                  
texlive-dozenal.noarch                               12:svn75722-4.fc44                  
texlive-drm.noarch                                   12:svn38157-4.fc44                  
texlive-droid.noarch                                 12:svn77677-4.fc44                  
texlive-dsserif.noarch                               12:svn77677-4.fc44                  
texlive-duerer-latex.noarch                          12:svn15878-4.fc44                  
texlive-duerer.noarch                                12:svn20741-4.fc44                  
texlive-dutchcal.noarch                              12:svn77677-4.fc44                  
texlive-dvipdfmx.x86_64                              12:svn77942-109.fc44                
texlive-dvipng.x86_64                                12:svn77830-109.fc44                
texlive-dvips.x86_64                                 12:svn77830-109.fc44                
texlive-dvisvgm.x86_64                               12:svn77830-109.fc44                
texlive-ean.noarch                                   12:svn20851-4.fc44                  
texlive-ebgaramond-maths.noarch                      12:svn77677-4.fc44                  
texlive-ebgaramond.noarch                            12:svn77677-4.fc44                  
texlive-ecc.noarch                                   12:svn15878-4.fc44                  
texlive-ec.noarch                                    12:svn25033-9.fc44                  
texlive-eco.noarch                                   12:svn29349-4.fc44                  
texlive-eczar.noarch                                 12:svn57716-4.fc44                  
texlive-eepic.noarch                                 12:svn15878-1.fc44                  
texlive-eiad-ltx.noarch                              12:svn15878-4.fc44                  
texlive-eiad.noarch                                  12:svn15878-4.fc44                  
texlive-ektype-tanka.noarch                          12:svn63255-4.fc44                  
texlive-electrumadf.noarch                           12:svn77677-4.fc44                  
texlive-ellipse.noarch                               12:svn39025-1.fc44                  
texlive-elvish.noarch                                12:svn15878-4.fc44                  
texlive-enctex.noarch                                12:svn34957-9.fc44                  
texlive-enumitem.noarch                              12:svn77682-4.fc44                  
texlive-environ.noarch                               12:svn77682-4.fc44                  
texlive-epigrafica.noarch                            12:svn17210-4.fc44                  
texlive-epsdice.noarch                               12:svn15878-4.fc44                  
texlive-epsf.noarch                                  12:svn21461-3.fc44                  
texlive-epstopdf.noarch                              12:svn71782-109.fc44                
texlive-epstopdf-pkg.noarch                          12:svn77677-3.fc44                  
texlive-erewhon-math.noarch                          12:svn77677-4.fc44                  
texlive-erewhon.noarch                               12:svn77677-4.fc44                  
texlive-esint.noarch                                 12:svn77682-4.fc44                  
texlive-esint-type1.noarch                           12:svn15878-4.fc44                  
texlive-eso-pic.noarch                               12:svn77066-2.fc44                  
texlive-esrelation.noarch                            12:svn76924-4.fc44                  
texlive-esstix.noarch                                12:svn77677-4.fc44                  
texlive-esvect.noarch                                12:svn77677-4.fc44                  
texlive-etbb.noarch                                  12:svn69098-4.fc44                  
texlive-etexcmds.noarch                              12:svn53171-3.fc44                  
texlive-etex.noarch                                  12:svn73850-9.fc44                  
texlive-etex-pkg.noarch                              12:svn77677-9.fc44                  
texlive-etoolbox.noarch                              12:svn77677-3.fc44                  
texlive-euenc.noarch                                 12:svn19795-2.fc44                  
texlive-euler-math.noarch                            12:svn77677-4.fc44                  
texlive-euler.noarch                                 12:svn42428-2.fc44                  
texlive-eulervm.noarch                               12:svn77677-4.fc44                  
texlive-euro-ce.noarch                               12:svn25714-6.fc44                  
texlive-euro.noarch                                  12:svn22191-6.fc44                  
texlive-eurosym.noarch                               12:svn17265-6.fc44                  
texlive-euxm.noarch                                  12:svn54074-4.fc44                  
texlive-everysel.noarch                              12:svn57489-2.fc44                  
texlive-everyshi.noarch                              12:svn57001-2.fc44                  
texlive-extractbb.noarch                             12:svn77855-109.fc44                
texlive-extsizes.noarch                              12:svn17263-2.fc44                  
texlive-fancybox.noarch                              12:svn18304-2.fc44                  
texlive-fancyhdr.noarch                              12:svn77677-3.fc44                  
texlive-fancyref.noarch                              12:svn15878-2.fc44                  
texlive-fancyvrb.noarch                              12:svn75920-2.fc44                  
texlive-fbb.noarch                                   12:svn77677-4.fc44                  
texlive-fdsymbol.noarch                              12:svn77677-4.fc44                  
texlive-fetamont.noarch                              12:svn77677-4.fc44                  
texlive-feyn.noarch                                  12:svn63945-4.fc44                  
texlive-fge.noarch                                   12:svn77677-4.fc44                  
texlive-filehook.noarch                              12:svn64822-2.fc44                  
texlive-filemod.noarch                               12:svn77682-4.fc44                  
texlive-finstrut.noarch                              12:svn21719-4.fc44                  
texlive-firamath.noarch                              12:svn56672-4.fc44                  
texlive-firamath-otf.noarch                          12:svn77677-4.fc44                  
texlive-fira.noarch                                  12:svn77677-4.fc44                  
texlive-firstaid.noarch                              12:svn76740-3.fc44                  
texlive-fix2col.noarch                               12:svn38770-3.fc44                  
texlive-fixmath.noarch                               12:svn76924-1.fc44                  
texlive-float.noarch                                 12:svn15878-2.fc44                  
texlive-fltpoint.noarch                              12:svn56594-3.fc44                  
texlive-foekfont.noarch                              12:svn15878-4.fc44                  
texlive-fonetika.noarch                              12:svn21326-4.fc44                  
texlive-fontawesome5.noarch                          12:svn77677-4.fc44                  
texlive-fontawesome6.noarch                          12:svn77677-4.fc44                  
texlive-fontawesome7.noarch                          12:svn76735-4.fc44                  
texlive-fontawesome.noarch                           12:svn48145-4.fc44                  
texlive-fontawesomescaled.noarch                     12:svn75980-4.fc44                  
texlive-fontaxes.noarch                              12:svn77682-4.fc44                  
texlive-fontmfizz.noarch                             12:svn43546-4.fc44                  
texlive-fontools.noarch                              12:svn78330-109.fc44                
texlive-fonts-churchslavonic.noarch                  12:svn67473-4.fc44                  
texlive-fontscripts.noarch                           12:svn74247-4.fc44                  
texlive-fontsetup.noarch                             12:svn77682-4.fc44                  
texlive-fontsize.noarch                              12:svn78101-4.fc44                  
texlive-fontspec.noarch                              12:svn76430-2.fc44                  
texlive-fontware.x86_64                              12:svn77830-109.fc44                
texlive-footmisc.noarch                              12:svn77682-4.fc44                  
texlive-footnotehyper.noarch                         12:svn76871-2.fc44                  
texlive-forum.noarch                                 12:svn77677-4.fc44                  
texlive-fouriernc.noarch                             12:svn77677-4.fc44                  
texlive-fourier.noarch                               12:svn77677-4.fc44                  
texlive-fpl.noarch                                   12:svn54512-6.fc44                  
texlive-fp.noarch                                    12:svn49719-2.fc44                  
texlive-framed.noarch                                12:svn77682-4.fc44                  
texlive-frcursive.noarch                             12:svn77677-4.fc44                  
texlive-frederika2016.noarch                         12:svn42157-4.fc44                  
texlive-frimurer.noarch                              12:svn56704-4.fc44                  
texlive-garamond-libre.noarch                        12:svn77677-4.fc44                  
texlive-garamond-math.noarch                         12:svn61481-4.fc44                  
texlive-gelasiomath.noarch                           12:svn77677-4.fc44                  
texlive-gelasio.noarch                               12:svn77677-4.fc44                  
texlive-genealogy.noarch                             12:svn25112-4.fc44                  
texlive-gentium-otf.noarch                           12:svn77677-4.fc44                  
texlive-gentium-sil.noarch                           12:svn75783-4.fc44                  
texlive-geometry.noarch                              12:svn77677-3.fc44                  
texlive-gettitlestring.noarch                        12:svn77677-3.fc44                  
texlive-gfsartemisia.noarch                          12:svn77677-4.fc44                  
texlive-gfsbodoni.noarch                             12:svn77677-4.fc44                  
texlive-gfscomplutum.noarch                          12:svn77677-4.fc44                  
texlive-gfsdidotclassic.noarch                       12:svn52778-4.fc44                  
texlive-gfsdidot.noarch                              12:svn77677-4.fc44                  
texlive-gfsneohellenicmath.noarch                    12:svn77677-4.fc44                  
texlive-gfsneohellenic.noarch                        12:svn77677-4.fc44                  
texlive-gfssolomos.noarch                            12:svn77677-4.fc44                  
texlive-gillcm.noarch                                12:svn19878-4.fc44                  
texlive-gillius.noarch                               12:svn77677-4.fc44                  
texlive-gincltex.noarch                              12:svn64967-1.fc44                  
texlive-glyphlist.noarch                             12:svn54074-109.fc44                
texlive-gmp.noarch                                   12:svn21691-3.fc44                  
texlive-gnu-freefont.noarch                          12:svn68624-4.fc44                  
texlive-gofonts.noarch                               12:svn77677-4.fc44                  
texlive-gothic.noarch                                12:svn49869-4.fc44                  
texlive-graphics-cfg.noarch                          12:svn41448-3.fc44                  
texlive-graphics-def.noarch                          12:svn76719-9.fc44                  
texlive-graphics.noarch                              12:svn75374-3.fc44                  
texlive-greenpoint.noarch                            12:svn15878-4.fc44                  
texlive-grfext.noarch                                12:svn77677-3.fc44                  
texlive-grffile.noarch                               12:svn52756-2.fc44                  
texlive-grotesq.noarch                               12:svn35859-4.fc44                  
texlive-gsftopk.x86_64                               12:svn52851-109.fc44                
texlive-gudea.noarch                                 12:svn57359-4.fc44                  
texlive-hacm.noarch                                  12:svn27671-4.fc44                  
texlive-hamnosys.noarch                              12:svn61941-4.fc44                  
texlive-hands.noarch                                 12:svn13293-4.fc44                  
texlive-helvetic.noarch                              12:svn77161-6.fc44                  
texlive-hep-font.noarch                              12:svn76220-4.fc44                  
texlive-hep-math-font.noarch                         12:svn76220-4.fc44                  
texlive-heros-otf.noarch                             12:svn77677-4.fc44                  
texlive-heuristica.noarch                            12:svn77677-4.fc44                  
texlive-hfbright.noarch                              12:svn29349-4.fc44                  
texlive-hfoldsty.noarch                              12:svn29349-4.fc44                  
texlive-hindmadurai.noarch                           12:svn57360-4.fc44                  
texlive-hologo.noarch                                12:svn76851-2.fc44                  
texlive-hopatch.noarch                               12:svn65491-3.fc44                  
texlive-hycolor.noarch                               12:svn77677-3.fc44                  
texlive-hypcap.noarch                                12:svn77677-3.fc44                  
texlive-hypdoc.noarch                                12:svn68661-4.fc44                  
texlive-hyperref.noarch                              12:svn77677-3.fc44                  
texlive-hyphen-base.noarch                           12:svn74125-9.fc44                  
texlive-hyphen-english.noarch                        12:svn73410-4.fc44                  
texlive-hyphenex.noarch                              12:svn57387-9.fc44                  
texlive-hyphen-polish.noarch                         12:svn73410-3.fc44                  
texlive-hyph-utf8.noarch                             12:svn74823-9.fc44                  
texlive-ibarra.noarch                                12:svn77677-4.fc44                  
texlive-ifmtarg.noarch                               12:svn77682-4.fc44                  
texlive-ifoddpage.noarch                             12:svn77682-4.fc44                  
texlive-ifplatform.noarch                            12:svn77677-9.fc44                  
texlive-ifsym.noarch                                 12:svn77677-4.fc44                  
texlive-iftex.noarch                                 12:svn77677-9.fc44                  
texlive-imfellenglish.noarch                         12:svn64568-4.fc44                  
texlive-inconsolata-nerd-font.noarch                 12:svn77677-4.fc44                  
texlive-inconsolata.noarch                           12:svn77677-4.fc44                  
texlive-index.noarch                                 12:svn73880-2.fc44                  
texlive-infwarerr.noarch                             12:svn53023-2.fc44                  
texlive-initials.noarch                              12:svn54080-4.fc44                  
texlive-inriafonts.noarch                            12:svn77677-4.fc44                  
texlive-intcalc.noarch                               12:svn77677-3.fc44                  
texlive-inter.noarch                                 12:svn77677-4.fc44                  
texlive-ipaex-type1.noarch                           12:svn47700-4.fc44                  
texlive-iwona.noarch                                 12:svn77677-4.fc44                  
texlive-jablantile.noarch                            12:svn16364-4.fc44                  
texlive-jamtimes.noarch                              12:svn20408-4.fc44                  
texlive-jetbrainsmono-otf.noarch                     12:svn77677-4.fc44                  
texlive-jknapltx.noarch                              12:svn19440-2.fc44                  
texlive-josefin.noarch                               12:svn77677-4.fc44                  
texlive-juliamono.noarch                             12:svn77677-4.fc44                  
texlive-junicode.noarch                              12:svn77677-4.fc44                  
texlive-junicodevf.noarch                            12:svn77677-4.fc44                  
texlive-kastrup.noarch                               12:svn15878-3.fc44                  
texlive-kixfont.noarch                               12:svn18488-4.fc44                  
texlive-knuth-lib.noarch                             12:svn57963-9.fc44                  
texlive-knuth-local.noarch                           12:svn57963-9.fc44                  
texlive-koma-script.noarch                           12:svn77575-2.fc44                  
texlive-kpathsea.x86_64                              12:svn77861-109.fc44                
texlive-kpfonts.noarch                               12:svn77677-4.fc44                  
texlive-kpfonts-otf.noarch                           12:svn77677-4.fc44                  
texlive-kurier.noarch                                12:svn77677-4.fc44                  
texlive-kvdefinekeys.noarch                          12:svn77677-3.fc44                  
texlive-kvoptions.noarch                             12:svn77677-3.fc44                  
texlive-kvsetkeys.noarch                             12:svn77677-3.fc44                  
texlive-l3backend.noarch                             12:svn76924-3.fc44                  
texlive-l3experimental.noarch                        12:svn76637-2.fc44                  
texlive-l3kernel.noarch                              12:svn77438-3.fc44                  
texlive-l3packages.noarch                            12:svn76637-3.fc44                  
texlive-latex-base-dev.noarch                        12:svn77483-4.fc44                  
texlive-latexbug.noarch                              12:svn77050-2.fc44                  
texlive-latexconfig.noarch                           12:svn68923-3.fc44                  
texlive-latex-fonts.noarch                           12:svn28888-3.fc44                  
texlive-latex-graphics-dev.noarch                    12:svn76722-4.fc44                  
texlive-latex-lab.noarch                             12:svn76739-3.fc44                  
texlive-latex.noarch                                 12:svn76924-109.fc44                
texlive-lato.noarch                                  12:svn77677-4.fc44                  
texlive-lcdftypetools.x86_64                         12:svn70015-109.fc44                
texlive-lete-sans-math.noarch                        12:svn77677-4.fc44                  
texlive-letltxmacro.noarch                           12:svn77677-3.fc44                  
texlive-lexend.noarch                                12:svn77677-4.fc44                  
texlive-lfb.noarch                                   12:svn15878-4.fc44                  
texlive-libertinegc.noarch                           12:svn44616-4.fc44                  
texlive-libertine.noarch                             12:svn77677-4.fc44                  
texlive-libertinus-fonts.noarch                      12:svn72484-4.fc44                  
texlive-libertinus.noarch                            12:svn77677-4.fc44                  
texlive-libertinus-otf.noarch                        12:svn77677-4.fc44                  
texlive-libertinust1math.noarch                      12:svn77677-4.fc44                  
texlive-libertinus-type1.noarch                      12:svn76891-4.fc44                  
texlive-librebaskerville.noarch                      12:svn77677-4.fc44                  
texlive-librebodoni.noarch                           12:svn64431-4.fc44                  
texlive-librecaslon.noarch                           12:svn77677-4.fc44                  
texlive-librefranklin.noarch                         12:svn77677-4.fc44                  
texlive-libris.noarch                                12:svn77677-4.fc44                  
texlive-lineara.noarch                               12:svn63169-4.fc44                  
texlive-lineno.noarch                                12:svn75200-2.fc44                  
texlive-linguisticspro.noarch                        12:svn77677-4.fc44                  
texlive-listings.noarch                              12:svn76899-2.fc44                  
texlive-listofitems.noarch                           12:svn70579-3.fc44                  
texlive-lm-math.noarch                               12:svn67718-6.fc44                  
texlive-lm.noarch                                    12:svn77677-6.fc44                  
texlive-lobster2.noarch                              12:svn77677-4.fc44                  
texlive-logix.noarch                                 12:svn63688-4.fc44                  
texlive-ltabptch.noarch                              12:svn17533-4.fc44                  
texlive-ltxcmds.noarch                               12:svn77677-3.fc44                  
texlive-ltxmisc.noarch                               12:svn75878-3.fc44                  
texlive-ltx-talk.noarch                              12:svn77585-2.fc44                  
texlive-lua-alt-getopt.noarch                        12:svn56414-9.fc44                  
texlive-luabidi.noarch                               12:svn68432-3.fc44                  
texlive-luahbtex.x86_64                              12:svn77830-109.fc44                
texlive-lualatex-math.noarch                         12:svn76924-2.fc44                  
texlive-lualibs.noarch                               12:svn67994-2.fc44                  
texlive-luaotfload.noarch                            12:svn74324-109.fc44                
texlive-luatex85.noarch                              12:svn41456-2.fc44                  
texlive-luatexbase.noarch                            12:svn52663-2.fc44                  
texlive-luatex.x86_64                                12:svn78218-109.fc44                
texlive-lua-uni-algos.noarch                         12:svn76195-3.fc44                  
texlive-lua-unicode-math.noarch                      12:svn77584-2.fc44                  
texlive-luciole.noarch                               12:svn77677-4.fc44                  
texlive-luwiantype.noarch                            12:svn73719-4.fc44                  
texlive-lwarp.noarch                                 12:svn78111-109.fc44                
texlive-lxfonts.noarch                               12:svn77677-4.fc44                  
texlive-ly1.noarch                                   12:svn63565-4.fc44                  
texlive-lydtype.noarch                               12:svn76924-4.fc44                  
texlive-magra.noarch                                 12:svn57373-4.fc44                  
texlive-makecmds.noarch                              12:svn77682-4.fc44                  
texlive-makeindex.x86_64                             12:svn75712-109.fc44                
texlive-makerobust.noarch                            12:svn78101-4.fc44                  
texlive-manfnt-font.noarch                           12:svn45777-6.fc44                  
texlive-marcellus.noarch                             12:svn77677-4.fc44                  
texlive-marvosym.noarch                              12:svn77677-6.fc44                  
texlive-mathabx.noarch                               12:svn77677-4.fc44                  
texlive-mathabx-type1.noarch                         12:svn21129-4.fc44                  
texlive-mathdesign.noarch                            12:svn31639-4.fc44                  
texlive-mathpazo.noarch                              12:svn77677-6.fc44                  
texlive-mathspec.noarch                              12:svn42773-2.fc44                  
texlive-mathtools.noarch                             12:svn72487-2.fc44                  
texlive-mdputu.noarch                                12:svn20298-4.fc44                  
texlive-mdsymbol.noarch                              12:svn77677-4.fc44                  
texlive-mdwtools.noarch                              12:svn15878-2.fc44                  
texlive-memoir.noarch                                12:svn76756-2.fc44                  
texlive-merriweather.noarch                          12:svn77677-4.fc44                  
texlive-metafont.x86_64                              12:svn77830-109.fc44                
texlive-metalogo.noarch                              12:svn18611-2.fc44                  
texlive-metsymb.noarch                               12:svn68175-4.fc44                  
texlive-mfb-oldstyle.noarch                          12:svn77677-4.fc44                  
texlive-mfirstuc.noarch                              12:svn77682-4.fc44                  
texlive-mflogo-font.noarch                           12:svn54512-6.fc44                  
texlive-mflogo.noarch                                12:svn77677-9.fc44                  
texlive-mfnfss.noarch                                12:svn77677-3.fc44                  
texlive-mfware.x86_64                                12:svn77830-109.fc44                
texlive-miama.noarch                                 12:svn77677-4.fc44                  
texlive-microtype.noarch                             12:svn75729-2.fc44                  
texlive-minitoc.noarch                               12:svn77682-4.fc44                  
texlive-mintspirit.noarch                            12:svn77677-4.fc44                  
texlive-missaali.noarch                              12:svn61719-4.fc44                  
texlive-mlmodern.noarch                              12:svn77677-4.fc44                  
texlive-mnsymbol.noarch                              12:svn18651-4.fc44                  
texlive-modes.noarch                                 12:svn77365-9.fc44                  
texlive-modroman.noarch                              12:svn76924-4.fc44                  
texlive-monaspace-otf.noarch                         12:svn77677-4.fc44                  
texlive-montserrat.noarch                            12:svn77677-4.fc44                  
texlive-moresize.noarch                              12:svn78101-4.fc44                  
texlive-mpfonts.noarch                               12:svn54512-4.fc44                  
texlive-mptopdf.noarch                               12:svn78010-109.fc44                
texlive-multido.noarch                               12:svn18302-3.fc44                  
texlive-multirow.noarch                              12:svn77682-4.fc44                  
texlive-mweights.noarch                              12:svn77677-4.fc44                  
texlive-nag.noarch                                   12:svn77682-4.fc44                  
texlive-natbib.noarch                                12:svn77677-3.fc44                  
texlive-ncctools.noarch                              12:svn51810-4.fc44                  
texlive-ncntrsbk.noarch                              12:svn77161-6.fc44                  
texlive-needspace.noarch                             12:svn77682-4.fc44                  
texlive-newcomputermodern.noarch                     12:svn77677-4.fc44                  
texlive-newfloat.noarch                              12:svn76924-2.fc44                  
texlive-newpx.noarch                                 12:svn77677-4.fc44                  
texlive-newtx.noarch                                 12:svn77677-4.fc44                  
texlive-newtxsf.noarch                               12:svn77677-4.fc44                  
texlive-newtxtt.noarch                               12:svn77677-4.fc44                  
texlive-newunicodechar.noarch                        12:svn77682-4.fc44                  
texlive-nfssext-cfr.noarch                           12:svn77682-4.fc44                  
texlive-niceframe-type1.noarch                       12:svn71849-4.fc44                  
texlive-nimbus15.noarch                              12:svn72894-4.fc44                  
texlive-nkarta.noarch                                12:svn16437-4.fc44                  
texlive.noarch                                       12:2025-1.fc44                      
texlive-notoccite.noarch                             12:svn77682-4.fc44                  
texlive-noto-emoji.noarch                            12:svn62950-4.fc44                  
texlive-notomath.noarch                              12:svn77677-4.fc44                  
texlive-noto.noarch                                  12:svn77677-4.fc44                  
texlive-ntgclass.noarch                              12:svn77239-2.fc44                  
texlive-ntheorem.noarch                              12:svn77682-4.fc44                  
texlive-nunito.noarch                                12:svn77677-4.fc44                  
texlive-oberdiek.noarch                              12:svn78315-109.fc44                
texlive-obnov.noarch                                 12:svn33355-4.fc44                  
texlive-ocherokee.noarch                             12:svn25689-4.fc44                  
texlive-ocr-b.noarch                                 12:svn20852-4.fc44                  
texlive-ocr-b-outline.noarch                         12:svn20969-4.fc44                  
texlive-ogham.noarch                                 12:svn24876-4.fc44                  
texlive-oinuit.noarch                                12:svn28668-4.fc44                  
texlive-old-arrows.noarch                            12:svn77677-4.fc44                  
texlive-oldlatin.noarch                              12:svn17932-4.fc44                  
texlive-oldstandard.noarch                           12:svn70421-4.fc44                  
texlive-opensans.noarch                              12:svn77677-4.fc44                  
texlive-orkhun.noarch                                12:svn15878-4.fc44                  
texlive-oswald.noarch                                12:svn60784-4.fc44                  
texlive-overlock.noarch                              12:svn77677-4.fc44                  
texlive-pacioli.noarch                               12:svn77677-4.fc44                  
texlive-pagella-otf.noarch                           12:svn77677-4.fc44                  
texlive-pagesel.noarch                               12:svn77677-3.fc44                  
texlive-palatino.noarch                              12:svn77161-6.fc44                  
texlive-paralist.noarch                              12:svn77682-4.fc44                  
texlive-parallel.noarch                              12:svn77677-5.fc44                  
texlive-paratype.noarch                              12:svn77677-4.fc44                  
texlive-parskip.noarch                               12:svn58358-2.fc44                  
texlive-pdfcolfoot.noarch                            12:svn75712-2.fc44                  
texlive-pdfcolmk.noarch                              12:svn52912-4.fc44                  
texlive-pdfcol.noarch                                12:svn64469-4.fc44                  
texlive-pdfcrop.noarch                               12:svn66862-109.fc44                
texlive-pdfescape.noarch                             12:svn77677-3.fc44                  
texlive-pdflscape.noarch                             12:svn75593-2.fc44                  
texlive-pdfmanagement-testphase.noarch               12:svn77467-2.fc44                  
texlive-pdfpages.noarch                              12:svn75881-2.fc44                  
texlive-pdfrender.noarch                             12:svn77682-4.fc44                  
texlive-pdftexcmds.noarch                            12:svn77677-3.fc44                  
texlive-pdftex.x86_64                                12:svn77868-109.fc44                
texlive-pennstander-otf.noarch                       12:svn77677-4.fc44                  
texlive-pgf.noarch                                   12:svn76180-1.fc44                  
texlive-phaistos.noarch                              12:svn18651-4.fc44                  
texlive-phonetic.noarch                              12:svn56468-4.fc44                  
texlive-pict2e.noarch                                12:svn56504-1.fc44                  
texlive-pigpen.noarch                                12:svn77677-4.fc44                  
texlive-placeins.noarch                              12:svn77682-4.fc44                  
texlive-plain.noarch                                 12:svn75712-9.fc44                  
texlive-playfair.noarch                              12:svn77677-4.fc44                  
texlive-plex.noarch                                  12:svn77677-4.fc44                  
texlive-plex-otf.noarch                              12:svn77677-4.fc44                  
texlive-plimsoll.noarch                              12:svn56605-4.fc44                  
texlive-poiretone.noarch                             12:svn64856-4.fc44                  
texlive-poltawski.noarch                             12:svn77677-4.fc44                  
texlive-polyglossia.noarch                           12:svn76990-2.fc44                  
texlive-powerdot.noarch                              12:svn77682-4.fc44                  
texlive-prodint.noarch                               12:svn21893-4.fc44                  
texlive-psfrag.noarch                                12:svn15878-2.fc44                  
texlive-pslatex.noarch                               12:svn67469-3.fc44                  
texlive-psnfss.noarch                                12:svn77677-3.fc44                  
texlive-pspicture.noarch                             12:svn15878-3.fc44                  
texlive-pst-3d.noarch                                12:svn17257-1.fc44                  
texlive-pst-blur.noarch                              12:svn15878-1.fc44                  
texlive-pst-calculate.noarch                         12:svn49817-1.fc44                  
texlive-pst-coil.noarch                              12:svn75878-1.fc44                  
texlive-pst-eps.noarch                               12:svn15878-1.fc44                  
texlive-pst-fill.noarch                              12:svn60671-1.fc44                  
texlive-pst-grad.noarch                              12:svn15878-1.fc44                  
texlive-pst-math.noarch                              12:svn67535-1.fc44                  
texlive-pst-node.noarch                              12:svn71773-1.fc44                  
texlive-pst-ovl.noarch                               12:svn54963-1.fc44                  
