adobe-source-code-pro-fonts.noarch                   2.042.1.062.1.026-9.fc44            
keyutils-libs-devel.x86_64                           1.6.3-7.fc44                        
krb5-devel.x86_64                                    1.22.2-3.fc44                       
lasi.x86_64                                          1.1.3-18.fc44                       
lato-fonts.noarch                                    2.015-25.fc44                       
lcms2-devel.x86_64                                   2.16-7.fc44                         
libaec-devel.x86_64                                  1.1.5-1.fc44                        
libaec.x86_64                                        1.1.5-1.fc44                        
libart_lgpl.x86_64                                   2.3.21-37.fc44                      
libblkid-devel.x86_64                                2.41.4-7.fc44                       
libcerf.x86_64                                       3.3-2.fc44                          
libcom_err-devel.x86_64                              1.47.3-4.fc44                       
libcurl-devel.x86_64                                 8.18.0-6.fc44                       
libdatrie-devel.x86_64                               0.2.14-2.fc44                       
libdav1d-devel.x86_64                                1.5.3-1.fc44                        
libdrm-devel.x86_64                                  2.4.131-1.fc44                      
libfbclient2.x86_64                                  5.0.4.1812-1.fc44                   
libffi-devel.x86_64                                  3.5.2-2.fc44                        
libgccjit.x86_64                                     16.0.1-0.10.fc44                    
libgfortran.x86_64                                   16.0.1-0.10.fc44                    
libGLEW.x86_64                                       2.2.0-12.fc44                       
libglvnd-core-devel.x86_64                           1:1.7.0-9.fc44                      
libglvnd-devel.x86_64                                1:1.7.0-9.fc44                      
libicu-devel.x86_64                                  77.1-2.fc44                         
libidn2-devel.x86_64                                 2.3.8-3.fc44                        
libkadm5.x86_64                                      1.22.2-3.fc44                       
libmount-devel.x86_64                                2.41.4-7.fc44                       
libnghttp2-devel.x86_64                              1.68.0-3.fc44                       
libnghttp3-devel.x86_64                              1.15.0-1.fc44                       
libogg-devel.x86_64                                  2:1.3.6-2.fc44                      
libomp-devel.x86_64                                  22.1.4-1.fc44                       
libomp.x86_64                                        22.1.4-1.fc44                       
libotf.x86_64                                        0.9.16-8.fc44                       
libpciaccess-devel.x86_64                            0.16-17.fc44                        
libpng-devel.x86_64                                  2:1.6.56-1.fc44                     
libpq.x86_64                                         18.0-4.fc44                         
libpsl-devel.x86_64                                  0.21.5-7.fc44                       
libptytty.x86_64                                     2.0-14.fc44                         
libqhull_p.x86_64                                    1:8.0.2-8.fc44                      
libqhull_r.x86_64                                    1:8.0.2-8.fc44                      
libqhull.x86_64                                      1:8.0.2-8.fc44                      
libquadmath-devel.x86_64                             16.0.1-0.10.fc44                    
librsvg2-devel.x86_64                                2.62.0-1.fc44                       
librsvg2-tools.x86_64                                2.62.0-1.fc44                       
libseccomp-devel.x86_64                              2.6.0-3.fc44                        
libselinux-devel.x86_64                              3.10-1.fc44                         
libsepol-devel.x86_64                                3.10-1.fc44                         
libsndfile-devel.x86_64                              1.2.2-11.fc44                       
libssh-devel.x86_64                                  0.12.0-1.fc44                       
libstdc++-devel.x86_64                               16.0.1-0.10.fc44                    
libthai-devel.x86_64                                 0.1.30-2.fc44                       
libtool.x86_64                                       2.5.4-10.fc44                       
libtree-sitter-bash.x86_64                           0.25.1-3.fc44                       
libtree-sitter-cmake.x86_64                          0.7.2-1.fc44                        
libtree-sitter-cpp.x86_64                            0.23.4-7.fc44                       
libtree-sitter-c-sharp.x86_64                        0.23.1-4.fc44                       
libtree-sitter-css.x86_64                            0.25.0-2.fc44                       
libtree-sitter-c.x86_64                              0.24.1-5.fc44                       
libtree-sitter-elixir.x86_64                         0.3.4-6.fc44                        
libtree-sitter-go.x86_64                             0.25.0-3.fc44                       
libtree-sitter-heex.x86_64                           0.8.1-1.fc44                        
libtree-sitter-html.x86_64                           0.23.2-3.fc44                       
libtree-sitter-javascript.x86_64                     0.25.0-2.fc44                       
libtree-sitter-java.x86_64                           0.23.5-7.fc44                       
libtree-sitter-jsdoc.x86_64                          0.25.0-2.fc44                       
libtree-sitter-json.x86_64                           0.24.8-7.fc44                       
libtree-sitter-lua.x86_64                            0.4.1-3.fc44                        
libtree-sitter-phpdoc.x86_64                         0.1.8-2.fc44                        
libtree-sitter-php.x86_64                            0.24.2-4.fc44                       
libtree-sitter-python.x86_64                         0.25.0-2.fc44                       
libtree-sitter-ruby.x86_64                           0.23.1-4.fc44                       
libtree-sitter-rust.x86_64                           0.24.2-1.fc44                       
libtree-sitter-toml.x86_64                           0.7.0-3.fc43                        
libtree-sitter-typescript.x86_64                     0.23.2-5.fc44                       
libtree-sitter.x86_64                                0.25.10-2.fc44                      
libtree-sitter-yaml.x86_64                           0.7.2-2.fc44                        
libverto-devel.x86_64                                0.3.2-12.fc44                       
libvorbis-devel.x86_64                               1:1.3.7-14.fc44                     
libX11-devel.x86_64                                  1.8.13-1.fc44                       
libXau-devel.x86_64                                  1.0.12-4.fc44                       
libxcb-devel.x86_64                                  1.17.0-7.fc44                       
libxcrypt-devel.x86_64                               4.5.2-3.fc44                        
libXext-devel.x86_64                                 1.3.6-5.fc44                        
libXft-devel.x86_64                                  2.3.8-10.fc44                       
libxkbcommon-devel.x86_64                            1.13.1-2.fc44                       
libxml2-devel.x86_64                                 2.12.10-6.fc44                      
libXrender-devel.x86_64                              0.9.12-4.fc44                       
lzip.x86_64                                          1.26-1.fc44                         
lzo-devel.x86_64                                     2.10-16.fc44                        
lzo-minilzo.x86_64                                   2.10-16.fc44                        
m4.x86_64                                            1.4.21-1.fc44                       
make.x86_64                                          1:4.4.1-12.fc44                     
maxima-runtime-sbcl.x86_64                           5.49.0-2.fc44                       
maxima.x86_64                                        5.49.0-2.fc44                       
mesa-libGL-devel.x86_64                              26.0.5-3.fc44                       
mesa-libGLU-devel.x86_64                             9.0.3-8.fc44                        
mpfr-devel.x86_64                                    4.2.2-3.fc44                        
mpg123-devel.x86_64                                  1.32.10-3.fc44                      
mupdf-libs.x86_64                                    1.27.1-10.fc44                      
mupdf.x86_64                                         1.27.1-10.fc44                      
ncurses-c++-libs.x86_64                              6.6-1.fc44                          
ncurses-devel.x86_64                                 6.6-1.fc44                          
netpbm.x86_64                                        11.13.00-2.fc44                     
ngtcp2-crypto-ossl-devel.x86_64                      1.22.1-1.fc44                       
ngtcp2-devel.x86_64                                  1.22.1-1.fc44                       
openblas-devel.x86_64                                0.3.29-2.fc43                       
openblas-openmp64.x86_64                             0.3.29-2.fc43                       
openblas-openmp64_.x86_64                            0.3.29-2.fc43                       
openblas-openmp.x86_64                               0.3.29-2.fc43                       
openblas-serial64.x86_64                             0.3.29-2.fc43                       
openblas-serial64_.x86_64                            0.3.29-2.fc43                       
openblas-serial.x86_64                               0.3.29-2.fc43                       
openblas-srpm-macros.noarch                          2-21.fc44                           
openblas-threads64.x86_64                            0.3.29-2.fc43                       
openblas-threads64_.x86_64                           0.3.29-2.fc43                       
openblas-threads.x86_64                              0.3.29-2.fc43                       
openblas.x86_64                                      0.3.29-2.fc43                       
openspecfun.x86_64                                   0.5.3-25.fc44                       
openssl-devel.x86_64                                 1:3.5.5-2.fc44                      
opus-devel.x86_64                                    1.6-2.fc44                          
pango-devel.x86_64                                   1.57.1-1.fc44                       
patch.x86_64                                         2.8-4.fc44                          
pcre2-devel.x86_64                                   10.47-1.fc44.1                      
pcre-cpp.x86_64                                      8.45-1.fc43.9                       
pcre-devel.x86_64                                    8.45-1.fc43.9                       
pcre-utf16.x86_64                                    8.45-1.fc43.9                       
pcre-utf32.x86_64                                    8.45-1.fc43.9                       
pcre.x86_64                                          8.45-1.fc43.9                       
perl-Class-Inspector.noarch                          1.36-20.fc44                        
perl-Clone.x86_64                                    0.48-1.fc44                         
perl-Compress-Raw-Bzip2.x86_64                       2.217-1.fc44                        
perl-Compress-Raw-Zlib.x86_64                        2.222-1.fc44                        
perl-Data-Dump.noarch                                1.25-14.fc44                        
perl-Digest-HMAC.noarch                              1.05-4.fc44                         
perl-Digest-SHA.x86_64                               1:6.04-522.fc44                     
perl-Encode-Locale.noarch                            1.05-33.fc44                        
perl-encoding.x86_64                                 4:3.00-521.fc44                     
perl-Exporter-Tiny.noarch                            1.006003-2.fc44                     
perl-File-Compare.noarch                             1.100.800-524.fc44                  
perl-File-Find.noarch                                1.44-524.fc44                       
perl-File-Listing.noarch                             6.16-7.fc44                         
perl-File-ShareDir.noarch                            1.118-15.fc44                       
perl-File-Slurper.noarch                             0.014-9.fc44                        
perl-File-Slurp.noarch                               9999.32-17.fc44                     
perl-Filter.x86_64                                   2:1.65-2.fc44                       
perl-HTML-Parser.x86_64                              3.83-5.fc44                         
perl-HTML-Tagset.noarch                              3.24-5.fc44                         
perl-HTTP-Cookies.noarch                             6.11-7.fc44                         
perl-HTTP-Date.noarch                                6.06-8.fc44                         
perl-HTTP-Message.noarch                             7.01-2.fc44                         
perl-HTTP-Negotiate.noarch                           6.01-42.fc44                        
perl-I18N-Langinfo.x86_64                            0.24-524.fc44                       
perl-IO-Compress-Brotli.x86_64                       0.019000-5.fc44                     
perl-IO-Compress.noarch                              2.217-1.fc44                        
perl-IO-HTML.noarch                                  1.004-16.fc44                       
perl-libintl-perl.x86_64                             1.35-4.fc44                         
perl-libwww-perl.noarch                              6.82-1.fc44                         
perl-lib.x86_64                                      0.65-524.fc44                       
perl-List-MoreUtils.noarch                           0.430-15.fc44                       
perl-List-MoreUtils-XS.x86_64                        0.430-19.fc44                       
perl-LWP-MediaTypes.noarch                           6.04-22.fc44                        
perl-Module-Load.noarch                              1:0.36-521.fc44                     
perl-Net-HTTP.noarch                                 6.24-2.fc44                         
perl-NTLM.noarch                                     1.09-42.fc44                        
perl-open.noarch                                     1.13-524.fc44                       
perl-Params-Util.x86_64                              1.102-20.fc44                       
perl-PerlIO-utf8_strict.x86_64                       0.010-12.fc44                       
perl-subs.noarch                                     1.04-524.fc44                       
perl-Term-ReadLine.noarch                            1.17-524.fc44                       
perl-Text-Unidecode.noarch                           1.30-28.fc44                        
perl-Thread-Queue.noarch                             3.14-521.fc44                       
perl-threads-shared.x86_64                           1.70-521.fc44                       
perl-threads.x86_64                                  1:2.43-521.fc44                     
perl-TimeDate.noarch                                 1:2.33-18.fc44                      
perl-Try-Tiny.noarch                                 0.32-4.fc44                         
perl-Unicode-EastAsianWidth.noarch                   12.0-20.fc44                        
perl-Unicode-Normalize.x86_64                        1.32-521.fc44                       
perl-WWW-RobotRules.noarch                           6.02-43.fc44                        
perl-XML-Parser.x86_64                               2.57-1.fc44                         
perl-XML-XPath.noarch                                1.48-10.fc44                        
php-common.x86_64                                    8.5.5-1.fc44                        
picosat-libs.x86_64                                  965-30.fc44                         
pixman-devel.x86_64                                  0.46.2-3.fc44                       
portaudio-devel.x86_64                               19.7.0-3.fc44                       
potrace.x86_64                                       1.16-16.fc44                        
publicsuffix-list.noarch                             20260116-1.fc44                     
python3-antlr4-runtime.noarch                        4.13.2-16.fc44                      
python3-babel.noarch                                 2.18.0-1.fc44                       
python3-breathe.noarch                               4.36.0-6.fc44                       
python3-contourpy.x86_64                             1.3.3-3.fc44                        
python3-cycler.noarch                                0.11.0-20.fc44                      
python3-cython.x86_64                                3.2.4-3.fc44                        
python3-docutils.noarch                              0.22.4-2.fc44                       
python3-fonttools.x86_64                             4.62.1-1.fc44                       
python3-gmpy2.x86_64                                 2.3.0-1.fc44                        
python3-imagesize.noarch                             1.4.1-15.fc44                       
python3-jinja2.noarch                                3.1.6-7.fc44                        
python3-kiwisolver.x86_64                            1.5.0-1.fc44                        
python3-markupsafe.x86_64                            3.0.2-7.fc44                        
python3-matplotlib-data-fonts.x86_64                 3.10.8-2.fc44                       
python3-matplotlib-tk.x86_64                         3.10.8-2.fc44                       
python3-matplotlib.x86_64                            3.10.8-2.fc44                       
python3-mpmath.noarch                                1.4.0b3-3.fc44                      
python3-numexpr.x86_64                               2.14.1-1.fc44                       
python3-numpy-f2py.x86_64                            1:2.4.4-1.fc44                      
python3-numpy.x86_64                                 1:2.4.4-1.fc44                      
python3-pillow-tk.x86_64                             12.2.0-1.fc44                       
python3-platformdirs.noarch                          4.9.1-1.fc44                        
python3-pooch.noarch                                 1.9.0-1.fc44                        
python3-pycosat.x86_64                               0.6.6-12.fc44                       
python3-pyglet.noarch                                2.0.10-10.fc44                      
python3-pygments.noarch                              2.19.1-9.fc44                       
python3-pyparsing.noarch                             3.1.2-15.fc44                       
